k,threshold,precision,recall,f1,retrieval_mrr,avg_similarity
1,0.1,0.749238579,0.749238579,0.749238579,0.749238579,0.543283719
1,0.2,0.749238579,0.749238579,0.749238579,0.749238579,0.543283719
1,0.25,0.75076297,0.749238579,0.75,0.749238579,0.543899949
1,0.3,0.757763975,0.743147208,0.750384418,0.743147208,0.548604234
1,0.35,0.757188498,0.721827411,0.739085239,0.721827411,0.554967594
1,0.5,0.795795796,0.538071066,0.64203513,0.538071066,0.60364668
1,0.7,0.807692308,0.042639594,0.081002893,0.042639594,0.743752088
1,0.9,0,0,0,0,0
2,0.1,0.420570265,0.83857868,0.560189895,0.793908629,0.489595912
2,0.2,0.421643696,0.83857868,0.561141304,0.793908629,0.490400628
2,0.25,0.427536232,0.83857868,0.566335276,0.793908629,0.494060049
2,0.3,0.441446303,0.830456853,0.576462297,0.78680203,0.503343446
2,0.35,0.461899179,0.8,0.58565589,0.760913706,0.518565007
2,0.5,0.604453871,0.578680203,0.591286307,0.558375635,0.591162546
2,0.7,0.807692308,0.042639594,0.081002893,0.042639594,0.743752088
2,0.9,0,0,0,0,0
3,0.1,0.295994569,0.885279188,0.443653015,0.809475465,0.460902722
3,0.2,0.297407913,0.885279188,0.445238703,0.809475465,0.462257631
3,0.25,0.30457562,0.885279188,0.453222453,0.809475465,0.467881556
3,0.3,0.321176033,0.876142132,0.470043573,0.802030457,0.480284898
3,0.35,0.348063973,0.839593909,0.492115442,0.774111675,0.500301906
3,0.5,0.527877698,0.595939086,0.559847401,0.564128596,0.585480725
3,0.7,0.807692308,0.042639594,0.081002893,0.042639594,0.743752088
3,0.9,0,0,0,0,0
4,0.1,0.228302367,0.910659898,0.365079365,0.815820643,0.441607856
4,0.2,0.23,0.910659898,0.367246673,0.815820643,0.443561799
4,0.25,0.237238826,0.910659898,0.376416282,0.815820643,0.450343932
4,0.3,0.255031627,0.900507614,0.397490477,0.808121827,0.465347384
4,0.35,0.283938172,0.85786802,0.426659934,0.778680203,0.488767025
4,0.5,0.480194018,0.603045685,0.534653465,0.565905245,0.582193972
4,0.7,0.807692308,0.042639594,0.081002893,0.042639594,0.743752088
4,0.9,0,0,0,0,0
5,0.1,0.185600653,0.923857868,0.309103261,0.818460237,0.427611275
5,0.2,0.187435633,0.923857868,0.311643836,0.818460237,0.430078731
5,0.25,0.194646681,0.92284264,0.321485411,0.818257191,0.438087357
5,0.3,0.212897108,0.911675127,0.34518547,0.81035533,0.455231368
5,0.35,0.243250924,0.869035533,0.380106572,0.780913706,0.480885997
5,0.5,0.447526237,0.606091371,0.514877102,0.566514382,0.580146467
5,0.7,0.807692308,0.042639594,0.081002893,0.042639594,0.743752088
5,0.9,0,0,0,0,0
7,0.1,0.134693878,0.938071066,0.235564054,0.820708243,0.407280051
7,0.2,0.136706613,0.938071066,0.238636364,0.820708243,0.410724242
7,0.25,0.144263832,0.937055838,0.250033862,0.820505197,0.421026838
7,0.3,0.162520136,0.921827411,0.276323798,0.811926517,0.441765451
7,0.35,0.192841163,0.875126904,0.31604033,0.78188059,0.470638165
7,0.5,0.402144772,0.609137056,0.484457004,0.566997825,0.576958385
7,0.7,0.807692308,0.042639594,0.081002893,0.042639594,0.743752088
7,0.9,0,0,0,0,0
10,0.1,0.095961656,0.955329949,0.174404596,0.822716139,0.387032282
10,0.2,0.098379509,0.955329949,0.178388626,0.822716139,0.392326433
10,0.25,0.105843936,0.954314721,0.190553416,0.822513093,0.404933192
10,0.3,0.123412221,0.937055838,0.218100189,0.813705987,0.428873971
10,0.35,0.154035953,0.887309645,0.262501877,0.783279349,0.461640162
10,0.5,0.361575179,0.615228426,0.455467869,0.567677464,0.573140418
10,0.7,0.807692308,0.042639594,0.081002893,0.042639594,0.743752088
10,0.9,0,0,0,0,0
