k,threshold,precision,recall,f1,retrieval_mrr,avg_similarity
1,0.1,0.384771574,0.384771574,0.384771574,0.384771574,0.397575655
1,0.2,0.396424816,0.382741117,0.38946281,0.382741117,0.405472297
1,0.25,0.418367347,0.374619289,0.395286556,0.374619289,0.419439067
1,0.3,0.451697128,0.351269036,0.395202741,0.351269036,0.441109727
1,0.35,0.480376766,0.310659898,0.377311961,0.310659898,0.464848857
1,0.5,0.52970297,0.108629442,0.180286436,0.108629442,0.556735362
1,0.7,1,0.003045685,0.006072874,0.003045685,0.752837479
1,0.9,0,0,0,0,0
2,0.1,0.242378049,0.484263959,0.323061294,0.434517766,0.373842798
2,0.2,0.252536038,0.480203046,0.3310007,0.431472081,0.383997237
2,0.25,0.271055753,0.463959391,0.342193935,0.41928934,0.401464171
2,0.3,0.297619048,0.431472081,0.352258599,0.391370558,0.424225852
2,0.35,0.335431655,0.378680203,0.355746304,0.344670051,0.452606463
2,0.5,0.421428571,0.119796954,0.186561265,0.114213198,0.553077081
2,0.7,1,0.003045685,0.006072874,0.003045685,0.752837479
2,0.9,0,0,0,0,0
3,0.1,0.179382842,0.537055838,0.268937468,0.452115059,0.359448148
3,0.2,0.188311688,0.529949239,0.277881288,0.448054146,0.371413741
3,0.25,0.205737705,0.50964467,0.293138686,0.434517766,0.391195846
3,0.3,0.227317554,0.468020305,0.306007302,0.403553299,0.414563905
3,0.35,0.263962766,0.403045685,0.319003616,0.352791878,0.445911987
3,0.5,0.366666667,0.12284264,0.184030418,0.115228426,0.550715565
3,0.7,1,0.003045685,0.006072874,0.003045685,0.752837479
3,0.9,0,0,0,0,0
4,0.1,0.148129295,0.590862944,0.236874237,0.465566836,0.349067407
4,0.2,0.156755275,0.58071066,0.246870954,0.460744501,0.36270967
4,0.25,0.171879937,0.552284264,0.262168675,0.445177665,0.383686674
4,0.3,0.194012442,0.506598985,0.280573517,0.41319797,0.408442734
4,0.35,0.231144872,0.43248731,0.301272984,0.360152284,0.441617281
4,0.5,0.341463415,0.127918782,0.186115214,0.116497462,0.549242076
4,0.7,1,0.003045685,0.006072874,0.003045685,0.752837479
4,0.9,0,0,0,0,0
5,0.1,0.12459217,0.620304569,0.207505519,0.471455161,0.341013455
5,0.2,0.132859365,0.607106599,0.218009479,0.466023689,0.356210506
5,0.25,0.146297255,0.573604061,0.233133897,0.449441624,0.377916513
5,0.3,0.16742671,0.521827411,0.25351418,0.416243655,0.404192927
5,0.35,0.203539823,0.443654822,0.279054917,0.362385787,0.438433315
5,0.5,0.319899244,0.12893401,0.183791606,0.116700508,0.548249098
5,0.7,1,0.003045685,0.006072874,0.003045685,0.752837479
5,0.9,0,0,0,0,0
7,0.1,0.095432657,0.663959391,0.166879306,0.478199178,0.328946514
7,0.2,0.102697433,0.641624365,0.17705561,0.471341552,0.346928349
7,0.25,0.114975845,0.604060914,0.193181818,0.454106841,0.369947637
7,0.3,0.134952429,0.547208122,0.216509339,0.42008702,0.39780739
7,0.35,0.169705992,0.462944162,0.248366013,0.365238095,0.433748478
7,0.5,0.299771167,0.132994924,0.184247539,0.11730481,0.547254826
7,0.7,1,0.003045685,0.006072874,0.003045685,0.752837479
7,0.9,0,0,0,0,0
10,0.1,0.0710852,0.705583756,0.129158149,0.482824108,0.316144006
10,0.2,0.078527895,0.680203046,0.140800672,0.475636532,0.337609811
10,0.25,0.088949172,0.63248731,0.155964451,0.457254049,0.36203422
10,0.3,0.10789019,0.570558376,0.181465935,0.422715333,0.39181104
10,0.35,0.14048607,0.481218274,0.217481074,0.367299573,0.428948494
10,0.5,0.278008299,0.136040609,0.182685753,0.117631939,0.545401913
10,0.7,1,0.003045685,0.006072874,0.003045685,0.752837479
10,0.9,0,0,0,0,0
