k,threshold,false_positive_rate,avg_similarity
1,0.1,0.732631579,0.166483568
1,0.2,0.151578947,0.242970792
1,0.25,0.041052632,0.299784051
1,0.3,0.012631579,0.357212255
1,0.35,0.004210526,0.414405793
1,0.5,0.001052632,0.580853641
1,0.7,0,0
1,0.9,0,0
2,0.1,0.732631579,0.16117856
2,0.2,0.151578947,0.239674732
2,0.25,0.041052632,0.294537521
2,0.3,0.012631579,0.34922431
2,0.35,0.004210526,0.404320812
2,0.5,0.001052632,0.580853641
2,0.7,0,0
2,0.9,0,0
3,0.1,0.732631579,0.158549772
3,0.2,0.151578947,0.238063139
3,0.25,0.041052632,0.291724334
3,0.3,0.012631579,0.347454694
3,0.35,0.004210526,0.404320812
3,0.5,0.001052632,0.580853641
3,0.7,0,0
3,0.9,0,0
4,0.1,0.732631579,0.156665182
4,0.2,0.151578947,0.23714081
4,0.25,0.041052632,0.288877227
4,0.3,0.012631579,0.344375113
4,0.35,0.004210526,0.404320812
4,0.5,0.001052632,0.580853641
4,0.7,0,0
4,0.9,0,0
5,0.1,0.732631579,0.155342945
5,0.2,0.151578947,0.236134642
5,0.25,0.041052632,0.287502805
5,0.3,0.012631579,0.342880873
5,0.35,0.004210526,0.404320812
5,0.5,0.001052632,0.580853641
5,0.7,0,0
5,0.9,0,0
7,0.1,0.732631579,0.15336445
7,0.2,0.151578947,0.234734116
7,0.25,0.041052632,0.284834956
7,0.3,0.012631579,0.340007668
7,0.35,0.004210526,0.404320812
7,0.5,0.001052632,0.580853641
7,0.7,0,0
7,0.9,0,0
10,0.1,0.732631579,0.151027776
10,0.2,0.151578947,0.232569052
10,0.25,0.041052632,0.282171714
10,0.3,0.012631579,0.338410293
10,0.35,0.004210526,0.404320812
10,0.5,0.001052632,0.580853641
10,0.7,0,0
10,0.9,0,0
